web-scraper-order,select_all_university,select_faculty,course,sub_course,university,course_name_th,course_name_en,fee,1 Portfolio,2 Quota,3 admission,4 direct,latitude,longitude
1720459032-147,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459036-148,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,"อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)",รับ 20 คน,รับ 20 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459038-149,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,"อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)",รับ 20 คน,รับ 20 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459043-150,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมยานยนต์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Automotive Manufacturing Engineering,"อัตราค่าเล่าเรียน 384,000 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)",รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459047-151,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเมคคาทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Robotics and Automation Engineering,"อัตราค่าเล่าเรียน 502,500 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)",รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459051-152,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Science Program in Digital and Information Technology,"อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459053-153,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Science Program in Digital and Information Technology,"อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,13.9016954,100.53179454912896
1720459475-238,มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),B.Eng. (Logistics Engineering),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้,13.7798509,100.5603960841809
1720459480-239,มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),B.Eng. (Electrical and Energy Engineering),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้,13.7798509,100.5603960841809
1720459484-240,มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),B.Eng. (Computer Engineering and Artificial Intelligence),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้,13.7798509,100.5603960841809
