select_all_university,select_faculty,course,sub_course,university,course_name_th,course_name_en,fee,1 Portfolio,2 Quota,3 admission,4 direct
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,5. วิศวกรรมปัญญาประดิษฐ์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,4. วิศวกรรมอุตสาหการ,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,"อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)",รับ 20 คน,รับ 20 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,4. วิศวกรรมอุตสาหการ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,"อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)",รับ 20 คน,รับ 20 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,3. วิศวกรรมยานยนต์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Automotive Manufacturing Engineering,"อัตราค่าเล่าเรียน 384,000 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)",รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมเมคคาทรอนิกส์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Robotics and Automation Engineering,"อัตราค่าเล่าเรียน 502,500 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)",รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,1. เทคโนโลยีสารสนเทศ,2. หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Science Program in Digital and Information Technology,"อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,1. เทคโนโลยีสารสนเทศ,1. หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Science Program in Digital and Information Technology,"อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,3. วิศวกรรมโลจิสติกส์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),B.Eng. (Logistics Engineering),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,2. วิศวกรรมไฟฟ้า,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),B.Eng. (Electrical and Energy Engineering),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),B.Eng. (Computer Engineering and Artificial Intelligence),"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ 60 คน,ไม่เปิดรับสมัครในรอบนี้
