id,year,university,province,latitude,longitude
1,2563,จุฬาลงกรณ์มหาวิทยาลัย,กรุงเทพมหานคร,13.7431095,100.53288411765634
2,2563,มหาวิทยาลัยเกษตรศาสตร์,กรุงเทพมหานคร,13.848258900000001,100.56754345731235
3,2563,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,นครปฐม,14.02299925,99.97386584467647
4,2563,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา,ชลบุรี,,
5,2563,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตเฉลิมพระเกียรติสกลนคร,สกลนคร,,
6,2563,มหาวิทยาลัยเกษตรศาสตร์ โครงการจัดตั้งวิทยาเขตสุพรรณบุรี,สุพรรณบุรี,,
7,2563,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,กรุงเทพมหานคร,,
8,2563,มหาวิทยาลัยขอนแก่น,ขอนแก่น,16.4591873,102.81199329281759
9,2563,มหาวิทยาลัยขอนแก่น วิทยาเขตหนองคาย,หนองคาย,,
10,2563,มหาวิทยาลัยเชียงใหม่,เชียงใหม่,18.80092635,98.95215523032442
11,2563,มหาวิทยาลัยธรรมศาสตร์,กรุงเทพมหานคร,13.7565772,100.4923547
12,2563,มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง,ลำปาง,,
13,2563,มหาวิทยาลัยธรรมศาสตร์ ศูนยรังสิต,ปทุมธานี,14.07277455,100.60691174374841
14,2563,มหาวิทยาลัยธรรมศาสตร์ ศูนยถาวร-อุษา ประภา(ศูนย์พัทยา),ชลบุรี,,
15,2563,มหาวิทยาลัยมหิดล,นครปฐม,13.79465205,100.32185831362244
16,2563,มหาวิทยาลัยมหิดล วิทยาเขตกาญจนบุรี,กาญจนบุรี,,
17,2563,มหาวิทยาลัยรามคำแหง วิทยาเขตบางนา,กรุงเทพมหานคร,13.66632505,100.6877400548014
18,2563,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดเชียงราย,เชียงราย,19.92610705,99.87141686959833
19,2563,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดขอนแก่น,ขอนแก่น,,
20,2563,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดหนองบัวลำภู,หนองบัวลำภู,17.2711112,102.3292259
21,2563,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดปราจีนบุรี,ปราจีนบุรี,,
22,2563,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดชัยภูมิ,ชัยภูมิ,,
